WP_CD;WP_TTL
JTI-CS-2012-3-SGO-02-063;Investigation of electric components used in aerospace environment in terms of partial discharge issues
JTI-CS-2012-3-ECO-01-062;Technology Development for CFRP Recovery/ Recycling
JTI-CS-2012-2-SGO-03-018;Operational expertise for function definition and validation - support to experimentations
JTI-CS-2012-3-ECO-01-061;Sustainability assessment for EcoDesign-Guideline
JTI-CS-2012-3-SGO-03-020;Adaptation of optimisation algorithm to avionics constraints
JTI-CS-2012-2-SGO-04-005;Virtual integration of electrical equipment and rig correlation
JTI-CS-2012-2-ECO-01-054;Chromium free surface pre-treatments and sealing of Tartaric Sulphuric Anodizing
JTI-CS-2012-2-ECO-01-055;Laser welding of newly developed Al-Mg-Li alloy
JTI-CS-2012-2-ECO-01-056;Development and demonstration of Direct Manufacturing technology for High Strength Aluminium Alloys
JTI-CS-2012-2-ECO-01-057;Advanced Composite Integrated Skin Panel structural testing
JTI-CS-2012-3-ECO-01-058;Validation of TSAA coating technology. Development of procedures and standards manual. Technical and economical study
JTI-CS-2012-3-ECO-01-059;Design and Modification of existing spraying facilities for automated sol gel application
JTI-CS-2012-3-GRC-06-005;Recycling of Metallic Materials from Rotorcraft Transmissions
JTI-CS-2012-3-SGO-02-057;High Voltage connectors and moving links
IMI-Call-2012-INNO-01-B;Workpackage 5
JTI-CS-2012-2-SAGE-02-020;Electro-hydraulic servo development, test and supply for Open Rotor
JTI-CS-2012-2-GRA-05-007;Development & optimization of advanced propulsion system installation through innovative complete A/C powered WT model
JTI-CS-2012-2-SFWA-02-030;Low speed aeroacoustic test of a large CROR rig in an open jet test section
JTI-CS-2012-2-SFWA-02-031;Aeroacoustic and aerodynamic wind tunnel tests at low speed for a turbofan model equipped with TPS
JTI-CS-2012-2-SFWA-02-032;Low speed aeroacoustic test of large CROR aircraft model in an open jet test section
IMI-Call-2012-INNO-01-A;Workpackage 1-4
SP1-JTI-IMI-Learning;Learning from success and failure & Getting Drugs into Bad Bugs
SP1-JTI-IMI-2012-vacci;Developing a framework for rapid assessment of vaccination benefit/risk in Europe
SP1-JTI-IMI-2012-drug;Incorporating real-life clinical data into drug development
SP1-JTI-ARTEMIS-2012-AIPP1;Critical Systems Engineering Factories
SP1-JTI-ARTEMIS-2012-AIPP2;Innovative Integrated Care Cycles
JTI-CS-2012-2-SFWA-01-051;New aircraft de-icing concept based on functional coatings coupled with electro-thermal system
JTI-CS-2012-2-SFWA-02-029;Design and manufacturing of baseline low-speed, low-sweep wind tunnel model
SP1-JTI-IMI-INNO;Innovative Trial Design & Clinical Drug Development
SP1-JTI-ARTEMIS-2012-AIPP3;Seamless communication and interoperability ¿ Smart environment: the Neural System for Society
JTI-CS-2012-2-SAGE-02-019;Air cooled Oil Cooler development, test and supply for Open Rotor
JTI-CS-2012-2-SFWA-01-052;Innovative aircraft ice protection system ¿ sensing and modelling
JTI-CS-2012-2-SFWA-01-050;Development and construction of master moulds for riblet application
JTI-CS-2012-2-SFWA-01-049;Demonstration of the feasibility of an in-flight anti-contamination device for business jets
SP1-JTI-ARTEMIS-2012-AIPP6;Intelligent-Built environment and urban infrastructure for sustainable and friendly cities
SP1-JTI-ARTEMIS-2012-AIPP5;Computing platforms for embedded systems
SP1-JTI-ARTEMIS-2012-AIPP4;Production and Energy System Automation
JTI-CS-2012-3-SFWA-01-053;Adaptation of a generic wind tunnel model for attachment line transition measurements (MAALTSU)
KBBE.2013.2.3-02;Network for the transfer of knowledge on traditional foods to SMEs
KBBE.2013.3.3-01;Support for demonstrating the potential of biotechnological applications
KBBE.2013.2.3-01;Development and industrial application of sensors for food processing operations
KBBE.2013.2.4-01;Assuring quality and authenticity in the food chain
KBBE.2013.2.5-01;Assessment of the impact of global drivers of change on Europe's food security
KBBE.2013.2.5-02;Saving water and energy for resource-efficient food processing
KBBE.2013.2.6-01;Exploitation of results of Framework Programme projects in food, health and well-being by small and medium-sized enterprises
KBBE.2013.3.1-01;Plant High Value Products - from discovery to final product
KBBE.2013.3.1-02;EU-Latin America Partnering Initiative on sustainable biodiversity in agriculture
KBBE.2013.3.2-02;The CO2 algae biorefinery
KBBE.2013.2.2-03;Food-based solutions for eradication of vitamin D deficiency and health promotion throughout the life cycle
KBBE.2013.1.4-02;Integrated Pest Management (IPM) - ERANET
KBBE.2013.3.2-01;Marine biotechnology ERA-NET
KBBE.2013.2.2-02;Factors influencing the human gut microbiome and its effect on the development of diet-related diseases and brain development
KBBE.2013.2.2-01;New technologies to study brain function in relation to eating behaviour
KBBE.2013.2.1-01;Impact of food and nutritional behaviour, lifestyle and the socio-economic environment on depression and proposed remedial actions
KBBE.2013.1.4-12;Support to agricultural policy - Establishing and testing farm-level indicators
KBBE.2013.1.4-11;Measurement of research impact in European agriculture
KBBE.2013.1.4-10;Agriculture and trade development in EU's Eastern Neighbours
KBBE.2013.1.4-09;Improving the capacity of agro-meteorological crop modelling to integrate climatic variability and extreme weather events
KBBE.2013.1.4-07;Boosting the translation of FP projects' results into innovative applications in the field of agriculture, forestry, fisheries and aquaculture
KBBE.2013.1.4-05;Climate smart agriculture: adaptation of agricultural systems in Europe - ERANET+
KBBE.2013.3.3-02;Bioeconomy and bioregions
KBBE.2013.1.4-03;Mediterranean agriculture - ERANET
KBBE.2013.1.4-08;Boosting the outreach of research with focus on agricultural and forestry knowledge and innovation systems
KBBE.2013.1.4-01;Sustainable Forest Management and Multifunctional Forestry ¿ ERANET
KBBE.2013.1.4-04;Information and Communication Technologies (ICT) and robotics for sustainable agriculture - ERANET
KBBE.2013.1.2-05;Biological control agents in agriculture and forestry for effective pest and pathogen control
KBBE.2013.1.4-06;Innovative solutions in organic food and agriculture for next generation of food systems seeking synergies between rural development, natural resource management and food security and quality ¿ ERANET+
KBBE.2013.3.3-03;Opening markets for bio-based products: Standardisation, labelling and procurement
KBBE.2013.1.1-01;Development and exploitation of genomic data and tools, phenotyping approaches and breeding concepts to sustainable animal production systems
KBBE.2013.1.2-01;Agro-forestry systems for Europe
KBBE.2013.1.2-02;Legume breeding and management for sustainable agriculture as well as protein supply for food and feed
KBBE.2013.1.2-04;Control of pests and pathogens affecting fruit crops
KBBE.2013.1.2-06;Improved coordination and collaboration for EU Plant Health reference collections
KBBE.2013.1.2-07;Novel practices and policies for sustainable wood mobilisation in European forests
KBBE.2013.1.2-08;Innovative insights and tools to integrate the ecosystem-based approach into fisheries advice
KBBE.2013.1.2-09;Diversification of fish species and products in European aquaculture
KBBE.2013.1.2-10;Boosting the domestication of established farmed finfish species through selective breeding
KBBE.2013.1.2-11;Assessment of organic aquaculture for further development of European regulatory framework
KBBE.2013.1.3-01;Emerging viral vector borne diseases
KBBE.2013.1.3-02;Sustainable apiculture and conservation of honey bee genetic diversity
KBBE.2013.3.4-01;Preventing and valorising bio-waste in biorefineries
KBBE.2013.1.2-03;Integrated approach towards small grain cereal production and diversification in Europe
KBBE.2013.1.3-03;Sustainable animal production: an integrated and multi-factorial approach
KBBE.2013.3.5-02;GMO ERA-NET preparatory action
KBBE.2013.3.6-01;Novel bioinspired materials and processes
KBBE.2013.3.6-02;Synthetic Biology towards applications
KBBE.2013.3.5-01;New, fast, and reliable molecular detection methodologies
KBBE.2013.3.3-04;Optimal and cost-effective industrial biocatalysts
KBBE.2012.1.3-05;Review of homeopathic and phytotherapic treatments in terrestrial livestock farming
KBBE.2013.1.3-05;Ecology of drug resistant bacteria and transfer of antimicrobial resistance throughout the food chain
KBBE.2013.1.3-04;Coordination of research between EU and China on major infectious diseases of animals and zoonoses
NMP.2013.4.1-1;Development of new materials for the substitution of critical metals
NMP.2013.2.3-1;Advanced materials ¿ our allies for a sustainable future
NMP.2013.4.0-6;Safe Life Extension management of aged infrastructures networks and industrial plants
NMP.2013.2.3-2;Rational design of functional materials: networking and sharing of best practices
NMP.2013.4.0-5;Deployment of societally beneficial nano- and/or materials technologies in ICP countries
NMP.2013.4.0-4;Support for cluster activities of projects in the main application fields of NMP Theme
NMP.2013.4.1-3;European Intelligence Network on the Supply of Raw Materials
NMP.2013.3.0-2;Integrated processing and Control Systems for Sustainable Production in Farms and Forests
NMP.2013.4.0-2;Innovative materials for efficient, stable and cheap organic photovoltaic cells
NMP.2013.4.1-2;Breakthrough Solutions for Mineral Extraction and Processing in Extreme Environments
NMP.2013.2.2-4;Materials solutions for durable energy-harvesters
NMP.2013.4.0-1;Graphene production technologies
NMP.2013.4.0-3;From research to innovation: substantial steps forward in the industrial use of European intellectual assets, stimulating the use of newly developed materials and materials technologies by the industry
NMP.2013.3.0-1;Tools for Monitoring and Assessing Resource-efficiency in the Value Chain of Process Industries
FoF.NMP.2013-8;Innovative strategies for renovation and repair in manufacturing systems
NMP.2013.1.3-2;Nanomaterials safety assessment: Ontology, database(s) for modelling and risk assessment
NMP.2013.1.3-3;Development of a systematic framework for naming and assessing safety of the next generations of nanomaterials being developed for industrial applications
NMP.2013.1.4-1;Development of an integrated multi-scale modelling environment for nanomaterials and systems by design
NMP.2013.1.3-1;Safety in nanoscale production and products
NMP.2013.1.2-2;Nanotherapeutics to treat bacterial infectious diseases
NMP.2013.1.2-1;Nanotechnology-based sensors for environmental monitoring
NMP.2013.2.2-1;Biomaterials for Advanced Therapies and Medical Devices in the neurological/neuromuscular or cardiovascular fields
NMP.2013.1.1-1;Exploration, optimisation and control of nano-catalytic processes for energy applications
NMP.2013.2.2-3;Wide band gap semiconductor materials and structures for power electronics in energy technologies
NMP.2013.4.0-7;ERA-NET to support Innovation in the NMP thematic area
NMP.2013.1.4-2;Metrology research for the development and validation of design rules for engineering of nanostructured and nano-enabled materials and devices
NMP.2013.1.4-3;Development of methods and standards supporting the implementation of the Commission recommendation for a definition of nanomaterial
NMP.2013.1.4-4;Developing innovative outreach and dialogue on responsible nanotechnologies in EU civil society
NMP.2013.2.1-1;Developing new precursors, new processing routes and functionalisations for carbon fibres
NMP.2013.2.2-2;Biomaterials: Imaging and rapid precise prototyping technology for custom made scaffolds
NMP.2013.1.1-2;Self-assembly of naturally occurring nanosystems
EeB.NMP.2013-4;Integrated control systems and methodologies to monitor and improve building energy performance
FoF.NMP.2013-6;Mini-factories for customised products using local flexible production
NMP.2013.4.0-8;The impact of the integration of key enabling technologies on industrial production and societal goals
GC.NMP.2013-1;Improved materials for innovative ageing resistant batteries
EeB.NMP.2013-5;Optimised design methodologies for energy-efficient buildings integrated in the neighbourhood energy systems
EeB.NMP.2013-3;Integration of technologies for energy-efficient solutions in the renovation of public buildings
EeB.NMP.2013-2;Safe, energy-efficient and affordable new eco-innovative materials for building envelopes and/or partitions to provide a healthier indoor environment
EeB.NMP.2013-1;Nanotechnology for multifunctional lightweight construction materials and components
FoF.NMP.2013-11;Manufacturing of highly miniaturised components
FoF.NMP.2013-1;Improved use of renewable resources at factory level
FoF.NMP.2013-9;Advanced concepts for technology-based business approaches addressing product-services and their manufacturing in globalised markets
FoF.NMP.2013-7;New hybrid production systems in advanced factory environments based on new human-robot interactive cooperation
FoF.NMP.2013-5;Innovative design of personalised product-services and of their production processes based on collaborative environments
FoF.NMP.2013-4;Innovative methodologies addressing social sustainability in manufacturing
FoF.NMP.2013-3;Workplaces of the future: the new people-centred production site
FoF.NMP.2013-2;Innovative re-use of modular equipment based on integrated factory design
FoF.NMP.2013-10;Manufacturing processes for products made of composites or engineered metallic materials
EeB.NMP.2013-6;Achieving high efficiency by deep retrofitting in the case of commercial buildings
NMP.2013.4.0-9;Organisation of events, including those related to the Presidencies of the European Union
FP7-PEOPLE-2013-COFUND;"Marie-Curie Action: ""Co-funding of regional, National and International Programmes"""
FP7-PEOPLE-2013-IAPP;"Marie Curie Action: ""Industry-Academia Partnerships and Pathways"""
FP7-PEOPLE-2013-IOF;"Marie Curie Action: ""International Outgoing Fellowships for Career Development"""
FP7-PEOPLE-2013-IIF;"Marie Curie Action: ""International Incoming Fellowships"""
FP7-PEOPLE-2013-IRSES;"Marie Curie Action ""International Research Staff Exchange Scheme"""
FP7-PEOPLE-2013-NIGHT;"Marie-Curie Action: ""Researchers' Night"""
FP7-PEOPLE -2013-IEF;"Marie-Curie Action: ""Intra-European fellowships for career development"""
FP7-PEOPLE-2013-CIG;"Marie-Curie Action: ""Career Integration Grants"""
FP7-PEOPLE-2013-ITN;"Marie-Curie Action: ""Initial Training Networks"""
COH-2013-INNOVATOR;Women Innovators
COH-2013-Public-Administration;Innovation in Public Administration
SEC-2013.1.6-1;Framework and tools for (semi-) automated exploitation of massive amounts of digital data for forensic purposes ¿ Integration Project
SEC-2013.1.5-1;European toolbox, focusing on procedures, practices and guidelines for CBRN forensic aspects ¿ Capability Project
SEC-2013.1.4-2;Development of a Common European Framework for the application of new technologies in the collection and use of evidence ¿ Coordination and Support Action (Supporting Action)
SEC-2013.1.4-1;Smart and protective clothing for law enforcement and first responders ¿ Capability Project
SEC-2013.1.3-1;Inhibiting the use of explosives precursors ¿ Capability Project
SEC-2013.1.6-2;Novel technologies and management solutions for protection of crowds ¿ Integration Project
SEC-2013-1.6-3;Surveillance of wide zones: from detection to alert ¿ Integration Project
SEC-2013.2.5-4;Protection systems for utility networks ¿ Capability Project
SEC-2013-1.6-4;Information Exploitation ¿ Integration Project
SEC-2013.2.1-2;Impact of extreme weather on critical infrastructure ¿ Capability Project
SEC-2013.2.1-1;Evidence based and integral security concepts for government asset protection ¿ Capability Project
SEC-2013.4.3-1;Shaping immediate relief action in line with the goals of development co-operation in post crisis / post conflict societies to maintain stability ¿ Capability Project
SEC-2013.6.1-3;Trafficking in Human Beings: analysis of criminal networks for more effective counter-trafficking ¿ Coordination and Support Action
SEC-2013.4.1-1;Phase II demonstration programme on aftermath crisis management
SEC-2013.4.1-2;Better understanding of the cascading effect in crisis situations in order to improve future response and preparedness and contribute to lower damages and other unfortunate consequences ¿ Capability Project
SEC-2013.4.1-3;Development of simulation models and tools for optimising the pre-deployment and deployment of resources and the supply chain in external emergency situations ¿ Capability Project
SEC-2013.4.1-4;Development of decision support tools for improving preparedness and response of Health Services involved in emergency situations ¿ Capability Project
SEC-2013.4.1-5;Preparing societies to cope with large scale and/or cross border crisis and disasters ¿ Coordination and Support Action (Supporting Action)
SEC-2013.3.4-2;Extended border security - passport breeder document security ¿ Coordination and Support Action (Supporting Action)
SEC-2013.4.2-1;Fast rescue of disaster surviving victims: Simulation of and situation awareness during structural collapses including detection of survivors and survival spaces ¿ Integration Project
SEC-2013.3.4-1;Border checkpoints - hidden human detection ¿ Capability Project
SEC-2013.4.4-1;Tools for detection, traceability, triage and individual monitoring of victims after a mass CBRN contamination - Integration Project
SEC-2013.5.1-2;Audio and voice analysis, speaker identification for security applications ¿ Integration Project
SEC-2013.5.3-2;Testing the interoperability of maritime surveillance systems ¿ Pre-Operation Validation
SEC-2013.5.4-1;Evaluation and certification schemes for security products ¿ Capability Project
SEC-2013.6.1-1;The impact of social media in emergencies ¿ Capability Project
SEC-2013.6.1-2;Varying forms of terrorism ¿ Capability Project
SEC-2013.4.1-6;Preparedness for and management of large scale forest fires - Integration Project
SEC-2013.2.4-1;Phase II demonstration programme on logistics and supply chain security
SEC-2013.2.5-2;Understanding the economic impacts of Cyber crime in non-ICT sectors across jurisdictions - Capability Project
SEC-2013.1.1-1;Serious organised economic crime ¿ Integration Project
SEC-2013.1.1-2;¿Stronger Identity for EU citizens¿ ¿ Capability Project
SEC-2013.2.2-1;A research agenda for security issues on land transport ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.2.2-2;Toolbox for pandemics or highly dangerous pathogens in transport hubs ¿ Capability Project
SEC-2013.2.2-3;Protection of smart energy grids against cyber attacks ¿ Capability Project
SEC-2013.3.4-3;Security checks versus risk at borders ¿ Capability Project
SEC-2013.2.2-5;Security of ground based infrastructure and assets operating space systems ¿ Capability Project
SEC-2013.5.3-1;Definition of interoperability specifications for information and meta-data exchange amongst sensors and control systems ¿ Capability Project
SEC-2013.2.4-2;Non-military protection measures for merchant shipping against piracy ¿ Capability Project or Coordination and Support Action (Coordinating Action)
SEC-2013.2.5-1;Developing a Cyber crime and cyber terrorism research agenda ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.2.5-3;Pan European detection and management of incidents/attacks on critical infrastructures in sectors other than the ICT sector (i.e. energy, transport, finance, etc) ¿ Integration Project
SEC-2013.3.2-1;Pre-Operational Validation (POV) on land borders
SEC-2013.3.2-2;Sensor technology for under foliage detection ¿ Integration Project
SEC-2013.3.2-3;Mobile equipment at the land border crossing points ¿ Capability Project
SEC-2013.2.2-4;Cost effectiveness of security measures applied to renewable/distributed energy production and distribution ¿ Capability Project
SEC-2013.7.6-1;Open topic for Small and Medium Enterprises: ¿Use of serious gaming in order to improve intelligence analysis by law enforcement agents¿ ¿ Capability Project
SEC-2013.6.3-1;Horizon scanning and foresight for security research and innovation ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.6.3-2;The evolving concept of security ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.6.5-1;Synthesis of results and reviewing of ethics, legal and justice activities in Security research in FP7 ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.7.2-1;"Open topic for Small and Medium Enterprises: ¿Solutions for frequent petty crimes that are of high impact to local communities and citizens"" ¿ Capability Project"
SEC-2013.7.3.1;Increasing the engagement of civil society in security research ¿ Coordination and Support Action (Supporting Action)
SEC-2013.5.1-1;Analysis and identification of security systems and data set used by first responders and police authorities ¿ Capability Project
SEC-2013.7.4-1;Trans-national cooperation among public security research stakeholders ¿ Coordination and Support Action (Coordinating Action)
SEC-2013.6.2-1;Facilitators for assistance among EU Member States in emergencies in the EU ¿ Capability Project or Coordination and Support Action (Coordinating Action)
SiS.2013.2.1.1-1;Supporting changes in the organisation of research institutions to promote Gender Equality
SiS.2013.2.1.1-3;Conference on structural change promoting gender equality in research organisations (LT Presidency)
SiS.2013.2.1.3-1;Monitoring of gender equality in research and innovation (development of indicators): SHE FIGURES 2015
SiS.2013.2.2.1-1;Raising youth awareness to Responsible Research and Innovation through Inquiry Based Science Education
SiS.2013.2.2.3-1;Research on the role of teaching methods and assessment methods in addressing low achievement in the field of Mathematics, Science and Technology (MST)
SiS.2013.3.0.5-1;European Union Contest for Young Scientists (EUCYS) 2013
SiS.2013.3.0.6-1;"Conference under the Irish Presidency (1st semester 2013) ""The role of the media in Responsible Research and Innovation"""
SiS-2013.4.0.0-1;Monitoring the evolution of economic benefits of Responsible Research and Innovation
SiS.2013.1.3.3-2;Downstream training on Open Access in the European Research Area
SiS.2013.4.0.0-2;Stock taking and Meta analysis of SiS projects throughout FP6 and FP7
SiS.2013.4.0.0-3;Ex-post evaluation of SiS FP7
SiS-4.0.0;Monitoring, evaluation and assessment of Responsible Research and Innovation
SiS.2013.1.2-1;Mobilisation and Mutual Learning (MML) Action Plans: mainstreaming Science in Society actions in research
SiS.2013.1.1.1-6;"Tools and instruments for a better societal engagement in ""Horizon 2020"""
SiS.2013.1.1.1-5;Development of Impact Assessment and ex-ante evaluation methodologies using agent-based simulation including notably the role of civil society agents in collaborative Responsible Research and Innovation
SiS.2013.1.1.1-4;Eurobarometer on the perception of Responsible Research and Innovation
SiS.2013.1.1.1-3;Coordination of Responsible Research and Innovation approaches in industrial context
SiS.2013.1.1.1-2;Responsible Research and Innovation in industrial context
SiS.2013.1.1.1-1;Production and use of a Training and Dissemination Toolkit on Responsible research and innovation
SiS.2013.2.1.1-2;ERA-NET on the promotion of gender equality in research institutions
SiS.2013.1.3.3-1;Upstream support to the definition, development and implementation of open access strategies and policies and to their coordination in the European Research Area
SME-2013-4;Coordination and support action
SME-2013-1;Research for SMEs
SME-2013-3;Demonstration activity
SME-2013-2;Research for SME Associations
SPA.2013.1.2-01;Integrated downstream service activities and applications
SPA.2013.1.1-03;Traceable quality assurance system for multi-decadal ECVs
SPA.2013.1.1-02;Ensemble system of regional re-analyses
SPA.2013.1.1-04;Provision of access to simulated and observed climate datasets and climate indicator toolbox
SPA.2013.1.1-06;Stimulating development of downstream services and service evolution
SPA.2013.1.1-05;Attribution products
SPA.2013.2.1-01;Exploitation of space science and exploration data
SPA.2013.2.1-02;Earth-analogue research preparing for space exploration
SPA.2013.2.2-01;Space critical technologies
SPA.2013.2.3-01;Space-weather events
SPA.2013.2.3-02;Security of space assets from in-orbit collisions
SPA.2013.3.1-01;SME space technology research and technology transfer
SPA.2013.3.2-01;Cooperation with third countries
SPA.2013.1.1-07;Remote sensing methods
SPA.2013.1.1-01;Global 20th century re-analysis and coupling methods
SSH.2013.2.1-4;The future of the welfare state
SSH.2013.1.1-2;Intangibles in the public sector - an unrecognised source for innovation, well-being and smart growth
SSH.2013.1.2-1;Overcoming youth unemployment in Europe
SSH.2013.1.3-1;The impact of ageing societies on public finances in Europe
SSH.2013.1.3-2;Better integrating financial markets into, policy focussed, macro models
SSH.2013.2.1-1;Obstacles and prospects for sustainable lifestyles and green economy in Europe
SSH.2013.2.1-3;The role of multinational companies in addressing global development challenges
SSH.2013.1.1-1;Economic underpinnings of social innovations
SSH.2013.3.1-1;Addressing European governance of temporary migration and mobility to Europe
SSH.2013.3.2-1;Social Innovation ¿ empowering people, changing societies?
SSH.2013.3.2-2;Early childhood education and care: promoting quality for individual, social and economic benefits
SSH.2013.3.2-3;The impact of the third sector on socio-economic development in Europe
SSH.2013.4.1-1;Security and democracy in the neighbourhood: the case of the Caucasus
SSH.2013.5.2-2;Transmitting and benefiting from cultural heritage in Europe
SSH.2013.2.1-2;Social entrepreneurship for innovative and inclusive societies
SSH.2013.8-1;Evaluation, monitoring and comparison of the impacts of EU funded SSH research in Europe
SSH.2013.4.1-2;Facing transition in the South and East Mediterranean area: empowering the young generation
SSH.2013.6.3-1;Towards a European longitudinal childhood and youth survey
SSH.2011.8-1;Evaluation, monitoring and comparison of the outcomes and impacts of EU funded SSH research in Europe
SSH.2013.5.2-1;The multilingual challenge for the European citizen
SSH.2013.5.1-2;Addressing demand in anti-trafficking efforts and policies
SSH.2013.5.1-1;Citizens' resilience in times of crisis
SSH.2013.4.3-3;Untapped potential for growth and employment ¿ reducing the cost of non-tariff measures in goods, services and investment
SSH.2013.4.3-2;Transatlantic Social Sciences and Humanities Platform
SSH.2013.4.3-1;EU-India Social Sciences and Humanities Platform
SSH.2013.4.2-1;Media in conflicts and peace building
SSH.2013.7.1-1;Post-carbon cities in Europe: A long-term outlook
AAT.2013.4-8.;Seamless aeronautical networking through integration of data links, radios and antennas extended beyond ATM
AAT.2013.4-4.;Maintenance, repair and disposal
AAT.2013.4-5.;Integrated environment for optimised airline maintenance and operations
AAT.2013.4-6.;Integrated thermal analysis and design for aircraft
AAT.2013.4-7.;Large scale demonstration of extended Distributed Modular Electronics
AAT.2013.6-1.;Breakthrough and emerging technologies
AAT.2013.6-2.;Radical new concepts for air transport
AAT.2013.7-1.;Coordinating research and innovation in the field of Aeronautics and Air Transport
AAT.2013.7-2.;Coordinating research and innovation in the field of sustainable alternative fuels for Aviation
AAT.2013.7-3.;Communication of EU funded RTD project results to targeted audience
AAT.2013.7-5.;Conference: support for the organisation of Aerodays
AAT.2013.7-6.;Enhancing coordination and stimulating cooperation in research and innovation among EU Member States and Associated States to the EU Framework Programme
AAT.2013.7-4.;Creating cohesive links and common knowledge between potential partners in EU Framework Programme Collaborative Projects
AAT.2013.1-2.;Aerostructures
AERO-2005-1.3.2.13;Improvement of ATM system processes through validation
SST.2013.5-2.;Low cost flexible automation and mechanisation in small to medium shipyards
AERO-2005-1.3.1.4-m;Environmentally responsible air transport
AAT.2013.7-7.;Exploring opportunities and stimulating cooperation in research and innovation with China
AERO-2005-1.3.1.4k;ATM Safety regulation and supervisory functions
AERO-2005-1.3.1.4j;Air Transport System Wide Information Management
AERO-2005-1.3.1.4-l;Mitigating capacity constraints due to Wake vortex
AERO-2002-1.3.1.2f;External noise
AAT.2013.4-3.;Production
AAT.2013.1-3.;Low pressure system for Ultra High By-Pass Ratio Engine
AAT.2013.1-4.;Maturation of an integrated set of active flow, load and noise control technologies for the next generation of active wing, including in-flight demonstration
AAT.2013.2-1.;Airports
AAT.2013.3-1.;Human factors
AAT.2013.4-1.;Systems and equipment
AAT.2013.4-2.;Design systems and tools
AERO-2005-1.3.1.4h;Co-ordination Action
SST.2013.5-3.;Innovative, cost-effective construction and maintenance for safer, greener and climate resilient roads
AAT.2013.1-1.;Flight physics
TPT.2013-3.;Ex-post evaluation of the Transport (including AAT) theme of the FP7 ¿Cooperation¿ specific programme
TPT.2013-2.;Mapping regional capacities in transport research and innovation
TPT.2013-1.;Technology transfer in the area of Transport
GC.SST.2013-7.;Technical and operational connectivity in intermodal freight transport
GC.SST.2013-6.;High efficiency energy conversion for future heavy duty transport
GC.SST.2013-5.;Configurable and adaptable truck
GC.SST.2013-4.;Demonstration of electric buses as urban public transport
GC.SST.2013-3.;Future light urban electric vehicles
GC.SST.2013-2.;Next generation electric motors
GC.SST.2013-1.;Feasibility analysis and technological development of on-road charging for long term electric vehicle range extension
SST.2013.6-3.;Organisation of Transport Research Awards for the Transport Research Arena (TRA) conference
SST.2013.4-3.;Biomechanics and advanced digital human body models and testing for vehicle safety
SST.2013.6-1.;Strengthening the research and innovation strategies of the transport industries in Europe
AAT-8;Coordinated calls for international cooperation
SST.2013.5-1.;Technical requirements for the certification of new materials for railway rolling stock
SST.2013.4-2.;Inspection capabilities for enhanced ship safety
SST.2013.4-1.;Ships in operation
SST.2013.3-3.;Capitalising CIVITAS knowledge and experience
SST.2013.3-2.;Implementing innovative and green urban transport solutions in Europe and beyond
SST.2013.3-1.;Managing integrated multimodal urban transport network
SST.2013.2-2.;New concepts for railway infrastructure and operation: adaptable, automated, resilient and high-capacity
SST.2013.2-1.;Next generation of train control systems in the domain of urban and main line European railway systems
SST.2013.1-3.;ERA-NET Plus ¿Advanced systems, materials and techniques for next generation infrastructure¿
SST.2013.1-2.;Towards the zero emission ship
SST.2013.1-1.;Railway infrastructure optimisation and monitoring for further noise reduction
AAT.2013.8-2.;International cooperation on civil high speed air transport research
AAT.2013.8-1.;Coordinated call with Russia
SST.2013.6-2.;Towards a competitive and resource efficient port transport system
IMI-Call-2008-1-01;Improve Predictivity and Minimization Strategies of Immunogenicity for Biotherapeutics in Man
IMI-Call-2008-1-02;Non-genotoxic carcinogenesis: Identification of early markers and molecular classification of tumours
IMI-Call-2008-1-03;Development of expert (QSAR) systems for in silico toxicity prediction
IMI-Call-2008-1-04;Improved Predictivity of Non-Clinical Safety Evaluation
IMI-Call-2008-1-05;Qualification of Translational Safety Biomarkers from Non Clinical to Early Clinical Studies
IMI-Call-2008-1-06;Improving and strengthening the monitoring of the benefit/risk of medicines marketed in the EU
IMI-Call-2008-1-07;Islet cell research: Improving ß-cell function and identification of diagnostic biomarkers for treatment monitoring in diabetes
IMI-Call-2008-1-08;Surrogate markers for micro- and macrovascular hard endpoints to shorten clinical trials on diabetes
IMI-Call-2008-1-09;Pain research: Innovative preclinical and clinical rapprochement to produce biomarkers for safer and more effective treatments
IMI-Call-2008-1-10;New tools for the development of novel therapies in psychiatric disorders
IMI-Call-2008-1-11;Neurodegenerative disorders : Bridging the preclinicalclinical divide
IMI-Call-2008-1-12;Understanding Severe Asthma, the fundamental bottleneck to advancing new medicines for the syndrome
IMI-Call-2008-1-13;COPD Patient Reported Outcomes (PROs), a major bottleneck to understanding patient and economic benefits of new therapies
IMI-Call-2008-1-14;Establishment of a network to facilitate and coordinate European training and education relevant for stakeholders of medicines research and development
IMI-Call-2008-1-15;IMI Safety Sciences for Medicines Training Programme
IMI-Call-2008-1-16;IMI Pharmaceutical Medicine Training Programme
IMI-Call-2008-1-17;IMI Integrated Medicines Development Course Programme for non-specialists
IMI-Call-2008-1-18;IMI Pharmacovigilance Training Programme
IMI-Call-2010-Safety-01;Prediction of drug induced liver injury in man
IMI-Call-2010-Safety-02;Immunogenicity
